[2025-04-27 14:52:38.427376] | No suspicious object | ALERT: NO
[2025-04-27 14:52:40.424829] | No suspicious object | ALERT: NO
[2025-04-27 14:52:42.435254] | No suspicious object | ALERT: NO
[2025-04-27 14:52:44.430056] | No suspicious object | ALERT: NO
[2025-04-27 14:52:46.430156] | No suspicious object | ALERT: NO
[2025-04-27 14:52:48.428775] | No suspicious object | ALERT: NO
[2025-04-27 14:52:50.431666] | No suspicious object | ALERT: NO
[2025-04-27 14:52:51.633352] | Pistol | ALERT: YES
[2025-04-27 14:52:53.665086] | No suspicious object | ALERT: NO
[2025-04-27 14:52:55.675628] | No suspicious object | ALERT: NO
[2025-04-27 14:52:57.677432] | No suspicious object | ALERT: NO
[2025-04-27 14:52:58.544192] | Pistol | ALERT: YES
[2025-04-27 14:53:00.984794] | No suspicious object | ALERT: NO
[2025-04-27 14:53:02.987198] | No suspicious object | ALERT: NO
[2025-04-27 14:53:04.989538] | No suspicious object | ALERT: NO
[2025-04-27 14:53:06.980285] | No suspicious object | ALERT: NO
[2025-04-27 14:53:08.983887] | No suspicious object | ALERT: NO
[2025-04-27 14:53:10.976511] | No suspicious object | ALERT: NO
[2025-04-27 14:53:12.975691] | No suspicious object | ALERT: NO
[2025-04-27 14:53:14.988656] | No suspicious object | ALERT: NO
[2025-04-27 14:53:16.973858] | No suspicious object | ALERT: NO
[2025-04-27 14:53:18.977754] | No suspicious object | ALERT: NO
[2025-04-27 14:53:20.976503] | No suspicious object | ALERT: NO
[2025-04-27 14:53:22.972910] | No suspicious object | ALERT: NO
[2025-04-27 14:53:24.092251] | No suspicious object | ALERT: NO
[2025-04-27 14:53:26.127552] | No suspicious object | ALERT: NO
[2025-04-27 14:53:28.127515] | No suspicious object | ALERT: NO
[2025-04-27 14:53:31.487964] | No suspicious object | ALERT: NO
[2025-04-27 15:00:18.592161] | No suspicious object | ALERT: NO
[2025-04-27 15:00:21.877573] | No suspicious object | ALERT: NO
[2025-04-27 15:00:22.590394] | No suspicious object | ALERT: NO
[2025-04-27 15:00:23.768872] | Pistol | ALERT: YES
[2025-04-27 15:00:25.796059] | No suspicious object | ALERT: NO
[2025-04-27 15:00:27.799548] | No suspicious object | ALERT: NO
[2025-04-27 15:00:29.804624] | No suspicious object | ALERT: NO
[2025-04-27 15:00:31.805854] | No suspicious object | ALERT: NO
[2025-04-27 15:02:27.110075] | No suspicious object | ALERT: NO
[2025-04-27 15:02:29.103031] | No suspicious object | ALERT: NO
[2025-04-27 15:02:30.089127] | Pistol | ALERT: YES
[2025-04-27 15:02:32.117582] | No suspicious object | ALERT: NO
[2025-04-27 15:02:36.145281] | No suspicious object | ALERT: NO
[2025-04-27 15:02:38.135767] | No suspicious object | ALERT: NO
[2025-04-27 15:02:38.660237] | Pistol | ALERT: YES
[2025-04-27 15:02:40.694091] | No suspicious object | ALERT: NO
[2025-04-27 15:02:42.741724] | No suspicious object | ALERT: NO
[2025-04-27 15:02:44.741154] | No suspicious object | ALERT: NO
[2025-04-27 15:02:46.746952] | No suspicious object | ALERT: NO
[2025-04-27 15:02:48.746349] | No suspicious object | ALERT: NO
[2025-04-27 15:02:50.747368] | No suspicious object | ALERT: NO
[2025-04-27 15:02:52.750692] | No suspicious object | ALERT: NO
[2025-04-27 15:02:54.695495] | No suspicious object | ALERT: NO
[2025-04-27 15:02:56.693671] | No suspicious object | ALERT: NO
[2025-04-27 15:02:58.704505] | No suspicious object | ALERT: NO
[2025-04-27 15:03:00.691697] | No suspicious object | ALERT: NO
[2025-04-27 15:03:02.691105] | No suspicious object | ALERT: NO
[2025-04-27 15:03:04.692341] | No suspicious object | ALERT: NO
[2025-04-27 15:03:06.700967] | No suspicious object | ALERT: NO
[2025-04-27 15:05:02.189574] | No suspicious object | ALERT: NO
[2025-04-27 15:05:04.192533] | No suspicious object | ALERT: NO
[2025-04-27 15:05:06.191962] | No suspicious object | ALERT: NO
[2025-04-27 15:05:08.191815] | No suspicious object | ALERT: NO
[2025-04-27 15:05:09.393996] | Pistol | ALERT: YES
[2025-04-27 15:05:11.428341] | No suspicious object | ALERT: NO
[2025-04-27 15:05:13.425189] | No suspicious object | ALERT: NO
[2025-04-27 15:05:15.419285] | No suspicious object | ALERT: NO
[2025-04-27 15:05:17.735696] | No suspicious object | ALERT: NO
[2025-04-27 15:05:19.739379] | No suspicious object | ALERT: NO
[2025-04-27 15:05:21.742781] | No suspicious object | ALERT: NO
[2025-04-27 15:05:23.741967] | No suspicious object | ALERT: NO
[2025-04-27 15:05:25.738753] | No suspicious object | ALERT: NO
[2025-04-27 15:05:27.746331] | No suspicious object | ALERT: NO
[2025-04-27 15:05:29.741851] | No suspicious object | ALERT: NO
[2025-04-27 15:05:31.736779] | No suspicious object | ALERT: NO
[2025-04-27 15:05:33.749987] | No suspicious object | ALERT: NO
